NO,NO,TRAIN,NAME,FROM,DEP,TO,ARR
12116,12116,12116,SIDDHESWAR EXP  ,SOLAPUR JN     ,22:45,MUMBAI CST     ,06:50
12117,12117,12117,LTT MANMAD EXP  ,LOKMANYATILAK T,15:00,MANMAD JN      ,19:25
12118,12118,12118,MANMAD LTT EXP  ,MANMAD JN      ,08:35,LOKMANYATILAK T,13:00
12121,12121,12121,M P SMPRK KRNTI ,JABALPUR       ,19:10,H NIZAMUDDIN   ,09:05
12122,12122,12122,M P SMPRK KRNTI ,H NIZAMUDDIN   ,17:25,JABALPUR       ,07:55
12123,12123,12123,DECCAN QUEEN    ,MUMBAI CST     ,17:10,PUNE JN        ,20:25
12124,12124,12124,DECCAN QUEEN    ,PUNE JN        ,07:15,MUMBAI CST     ,10:25
12125,12125,12125,PRAGATI EXPRESS ,MUMBAI CST     ,16:25,PUNE JN        ,19:50
12126,12126,12126,PRAGATI EXPRESS ,PUNE JN        ,07:50,MUMBAI CST     ,11:15
12127,12127,12127,INTERCITY EXP   ,MUMBAI CST     ,06:45,PUNE JN        ,09:57
12128,12128,12128,INTERCITY EXP   ,PUNE JN        ,17:55,MUMBAI CST     ,21:05
12129,12129,12129,AZAD HIND EXP   ,PUNE JN        ,18:25,HOWRAH JN      ,03:50
12130,12130,12130,AZAD HIND EXP   ,HOWRAH JN      ,21:55,PUNE JN        ,06:50
12131,12131,12131,DR SAINAGAR EXP ,DADAR          ,21:45,SAINAGAR SHIRDI,03:51
12132,12132,12132,SAINAGAR DR EXP ,SAINAGAR SHIRDI,22:25,DADAR          ,04:30
12133,12133,12133,MANGALORE EXP   ,MUMBAI CST     ,22:10,MANGALORE JN   ,12:40
12134,12134,12134,MUMBAI EXP      ,MANGALORE JN   ,13:55,MUMBAI CST     ,04:25
12135,12135,12135,PUNE NAGPUR EXP ,PUNE JN        ,17:40,NAGPUR         ,09:25
12136,12136,12136,NAGPUR PUNE EXP ,NAGPUR         ,18:35,PUNE JN        ,09:45
12137,12137,12137,PUNJAB MAIL     ,MUMBAI CST     ,19:40,FIROZPUR CANT  ,05:40
12138,12138,12138,PUNJAB MAIL     ,FIROZPUR CANT  ,21:40,MUMBAI CST     ,07:35
12139,12139,12139,SEWAGRAM  EXP   ,MUMBAI CST     ,15:00,NAGPUR         ,06:10
12140,12140,12140,SEWAGRAM  EXP   ,NAGPUR         ,21:00,MUMBAI CST     ,12:00
12141,12141,12141,RAJENDRA NGR EXP,MUMBAI CST     ,23:25,RAJENDRANAGAR T,04:40
12142,12142,12142,RJPB CSTM EXP   ,RAJENDRANAGAR T,10:40,MUMBAI CST     ,15:30
12143,12143,12143,LTT SLN SUP EXP ,LOKMANYATILAK T,16:40,SULTANPUR      ,19:45
12145,12145,12145,LTT PURI SUP EX ,LOKMANYATILAK T,20:35,PURI           ,07:45
12146,12146,12146,PURI LTT SUP EXP,PURI           ,21:25,LOKMANYATILAK T,07:30
12147,12147,12147,NIZAMUDDIN EXP  ,C SHAHUMHARAJ T,09:05,H NIZAMUDDIN   ,17:05
12148,12148,12148,NZM KOP EXP     ,H NIZAMUDDIN   ,05:55,C SHAHUMHARAJ T,16:20
12149,12149,12149,PUNE PATNA EXP  ,PUNE JN        ,20:55,PATNA JN       ,04:00
12150,12150,12150,PNBE PUNE EXP   ,PATNA JN       ,22:55,PUNE JN        ,05:30
12151,12151,12151,SAMARSATA EXP   ,LOKMANYATILAK T,20:35,HOWRAH JN      ,08:25
